study	unique_study_id	file	chr	bp	min_p	cis_trans	ld_block	known_gene
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_4_145021995_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_4_145021995_1.tsv.gz	4	145021995	1.4941699574066957e-34	NA	EUR/4/143956740-147542688	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_4_152335693_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_4_152354549_1.tsv.gz	4	152335693	1.3999096265683447e-20	NA	EUR/4/149763306-152644270	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_5_10624754_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_5_10624754_1.tsv.gz	5	10624754	1.4551497620861178e-22	NA	EUR/5/9205437-11395339	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_5_35846713_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_5_35846713_1.tsv.gz	5	35837132	8.079509324137115e-54	NA	EUR/5/34676940-36438152	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_5_42724416_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_5_42724416_1.tsv.gz	5	42724416	2.4490632418447424e-22	NA	EUR/5/39596750-42858112	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_5_68300260_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_5_68300260_1.tsv.gz	5	68300260	6.063237617720771e-24	NA	EUR/5/68013947-71096890	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_5_75707853_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_5_75707853_1.tsv.gz	5	75707853	9.949471217509881e-48	NA	EUR/5/74672139-77129124	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_5_78136062_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_5_78136062_1.tsv.gz	5	78136062	2.591791134615938e-23	NA	EUR/5/77129124-78741315	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_5_88673135_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_5_88673135_1.tsv.gz	5	88673135	1.3689891307007298e-29	NA	EUR/5/86472172-89595165	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_5_96393194_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_5_96393194_1.tsv.gz	5	96352838	2.594954993431808e-24	NA	EUR/5/91671154-96487028	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_5_96520797_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_5_96520797_1.tsv.gz	5	96520797	7.850548482379963e-28	NA	EUR/5/96487028-97711949	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_5_111069301_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_5_111069301_1.tsv.gz	5	111069301	2.969476904710989e-50	NA	EUR/5/109299301-111753684	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_5_111069301_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_5_111069301_2.tsv.gz	5	111067157	8.476079928976021e-38	NA	EUR/5/109299301-111753684	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_5_123363504_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_5_123363504_1.tsv.gz	5	123363504	4.072864858272452e-44	NA	EUR/5/122150144-123858800	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_5_132449992_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_5_132449992_1.tsv.gz	5	132101145	2.2648955845715094e-38	NA	EUR/5/129539728-133682912	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_5_132449992_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_5_132449992_2.tsv.gz	5	132656189	3.934180642605675e-36	NA	EUR/5/129539728-133682912	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_5_132449992_3	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_5_132449992_3.tsv.gz	5	132435113	9.373916567472922e-254	NA	EUR/5/129539728-133682912	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_5_132449992_4	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_5_132449992_4.tsv.gz	5	132075767	3.535469997622325e-41	NA	EUR/5/129539728-133682912	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_5_132449992_5	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_5_132449992_5.tsv.gz	5	132440814	3.1644239762223592e-27	NA	EUR/5/129539728-133682912	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_5_132449992_6	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_5_132449992_6.tsv.gz	5	132684107	1.5882841988686964e-21	NA	EUR/5/129539728-133682912	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_5_132449992_7	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_5_132449992_7.tsv.gz	5	132545913	2.1257764817434965e-89	NA	EUR/5/129539728-133682912	NA
qtl-subset-ukb-ppp-european-ITGB5:P18084:OID21522:v1	qtl-subset-ukb-ppp-european-ITGB5:P18084:OID21522:v1_EUR_5_132295159_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB5:P18084:OID21522:v1/finemapped/EUR_5_132336964_1.tsv.gz	5	132295159	8.04453e-12	trans	EUR/5/129539728-133682912	ITGB5
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_5_139679432_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_5_139679432_2.tsv.gz	5	139671430	2.4644527794800268e-24	NA	EUR/5/137607787-140031561	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_5_142112420_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_5_142112420_1.tsv.gz	5	142109462	8.072102262699793e-60	NA	EUR/5/140031561-142646484	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_5_148820448_3	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_5_148820448_3.tsv.gz	5	148819436	9.370836457374198e-71	NA	EUR/5/147056017-150108378	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_5_171437017_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_5_171437017_1.tsv.gz	5	171437017	1.0111137119549053e-21	NA	EUR/5/169413494-172129074	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_5_177357447_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_5_177357447_1.tsv.gz	5	177357447	1.5000301904559538e-22	NA	EUR/5/175573504-177963481	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_6_577820_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_6_577820_1.tsv.gz	6	577820	5.616281769938293e-39	NA	EUR/6/121495-1477586	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_6_577820_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_6_577820_2.tsv.gz	6	245096	2.991495651131319e-33	NA	EUR/6/121495-1477586	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_6_577820_3	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_6_577820_3.tsv.gz	6	408246	1.0154431732886967e-24	NA	EUR/6/121495-1477586	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_6_577820_4	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_6_577820_4.tsv.gz	6	205920	0	NA	EUR/6/121495-1477586	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_6_577820_5	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_6_577820_5.tsv.gz	6	211783	1.355655313236086e-66	NA	EUR/6/121495-1477586	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_6_577820_6	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_6_577820_6.tsv.gz	6	221322	3.1527812396794426e-67	NA	EUR/6/121495-1477586	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_6_577820_8	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_6_577820_8.tsv.gz	6	514991	6.3652825859277305e-25	NA	EUR/6/121495-1477586	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_6_577820_9	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_6_577820_9.tsv.gz	6	205933	3.7929491261550443e-115	NA	EUR/6/121495-1477586	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_6_20694653_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_6_20694653_1.tsv.gz	6	20694653	3.123920693664128e-33	NA	EUR/6/18318442-21478455	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_6_26180406_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_6_26180406_1.tsv.gz	6	26180406	4.975079213514443e-52	NA	EUR/6/25684378-27258180	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_6_28768707_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_6_28768707_1.tsv.gz	6	28768707	2.5680294506673567e-24	NA	EUR/6/27258180-28904669	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_6_29967473_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_6_29967473_1.tsv.gz	6	29967473	4.100152405066133e-48	NA	EUR/6/28904669-30106780	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_6_30237866_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_6_30237866_1.tsv.gz	6	30237866	2.299852586686196e-25	NA	EUR/6/30106780-30425675	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_6_31152092_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_6_31152092_1.tsv.gz	6	31152092	2.9846952883013494e-31	NA	EUR/6/30425675-31282730	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_6_31624747_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_6_31624747_1.tsv.gz	6	31624747	4.360135640003971e-37	NA	EUR/6/31282730-32518958	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_6_31364750_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_6_31364750_1.tsv.gz	6	31364750	1.200051820204266e-46	NA	EUR/6/31282730-32518958	NA
qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1	qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1_EUR_6_31628361_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1/finemapped/EUR_6_31628361_1.tsv.gz	6	31628361	9.11801e-22	trans	EUR/6/31282730-32518958	ITGB7
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_6_32619436_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_6_32619436_1.tsv.gz	6	32619436	1.6998085132035087e-34	NA	EUR/6/32518958-32648562	NA
qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1	qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1_EUR_6_32634921_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1/finemapped/EUR_6_32634921_1.tsv.gz	6	32634921	3.2772000000000004e-22	trans	EUR/6/32518958-32648562	ITGB7
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_6_32691134_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_6_32691134_1.tsv.gz	6	32691134	3.8521217059810202e-28	NA	EUR/6/32648562-32877952	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_6_32666452_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_6_32666452_1.tsv.gz	6	32666452	2.700225286888239e-28	NA	EUR/6/32648562-32877952	NA
qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1	qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1_EUR_6_32873212_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1/finemapped/EUR_6_32873212_1.tsv.gz	6	32873212	3.86189e-22	trans	EUR/6/32648562-32877952	ITGB7
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_6_33573730_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_6_33573730_1.tsv.gz	6	33573730	6.000673538641138e-35	NA	EUR/6/32877952-33988587	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_6_34215280_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_6_34215280_1.tsv.gz	6	34215280	2.1419039907221047e-82	NA	EUR/6/33988587-34671459	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_6_35549613_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_6_35549613_2.tsv.gz	6	35597645	6.531704957524933e-31	NA	EUR/6/34671459-37606796	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_6_40401342_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_6_40401342_1.tsv.gz	6	40401342	5.0384853484230515e-22	NA	EUR/6/38719920-40444994	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_6_42229969_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_6_42229969_1.tsv.gz	6	42229969	3.0496920741863482e-30	NA	EUR/6/41655647-43990869	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_6_50821065_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_6_50821065_1.tsv.gz	6	50821065	1.960198262928789e-47	NA	EUR/6/49528149-52346029	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_6_90246690_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_6_90246690_2.tsv.gz	6	90237090	3.9275051810575814e-49	NA	EUR/6/89042663-90500688	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_6_108606639_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_6_108606639_1.tsv.gz	6	108606639	1.5509578669287363e-39	NA	EUR/6/107099183-109962510	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_6_107122949_3	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_6_107122949_3.tsv.gz	6	107106745	1.874236050659723e-49	NA	EUR/6/107099183-109962510	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_6_130024690_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_6_130024690_1.tsv.gz	6	130024690	2.37301235849052e-45	NA	EUR/6/129539492-130615104	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_6_135098493_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_6_135098493_1.tsv.gz	6	135097778	1.0289164191848434e-127	NA	EUR/6/134250058-136986161	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_6_135098493_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_6_135098493_2.tsv.gz	6	134964010	3.1075598275538893e-45	NA	EUR/6/134250058-136986161	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_6_142429255_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_6_142429255_1.tsv.gz	6	142429255	1.5031419660900208e-24	NA	EUR/6/139524383-143401375	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_6_151849112_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_6_151849112_2.tsv.gz	6	151836746	5.0812931862856674e-23	NA	EUR/6/151319866-153379899	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_6_160354620_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_6_160354620_1.tsv.gz	6	160354620	2.123244462000228e-26	NA	EUR/6/159132623-161426875	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_7_2820213_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_7_2820213_2.tsv.gz	7	2743672	9.331250034931322e-66	NA	EUR/7/2441094-3307193	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_7_3088056_3	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_7_3088056_3.tsv.gz	7	3079548	2.497403802780455e-22	NA	EUR/7/2441094-3307193	NA
qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1	qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1_EUR_7_6457870_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1/finemapped/EUR_7_6462736_1.tsv.gz	7	6457870	5.485270000000001e-18	trans	EUR/7/4890158-6804943	ITGB7
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_7_16975532_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_7_16975532_1.tsv.gz	7	16975532	4.7000231817980156e-23	NA	EUR/7/16696135-18904701	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_7_20463205_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_7_20463205_2.tsv.gz	7	20463205	9.368689554580404e-113	NA	EUR/7/18904701-21029233	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_7_22728505_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_7_22728505_2.tsv.gz	7	22725717	1.5342546859951797e-30	NA	EUR/7/21029233-22732641	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_7_37342861_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_7_37342861_1.tsv.gz	7	37342861	7.500668987360742e-35	NA	EUR/7/35316362-38128414	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_7_50286430_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_7_50286430_1.tsv.gz	7	50286430	3.1731763461391574e-23	NA	EUR/7/47883168-50325467	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_7_50376454_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_7_50376454_1.tsv.gz	7	50376454	6.198050409248895e-25	NA	EUR/7/50325467-53108926	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_7_75824834_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_7_75824834_1.tsv.gz	7	75822042	1.924486764965096e-52	NA	EUR/7/73268404-75960520	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_7_75824834_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_7_75824834_2.tsv.gz	7	75832877	1.3269186658426528e-44	NA	EUR/7/73268404-75960520	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_7_75824834_4	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_7_75824834_4.tsv.gz	7	75823936	1.8614289812130425e-23	NA	EUR/7/73268404-75960520	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_7_75964974_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_7_75964974_1.tsv.gz	7	75970554	2.304651386814334e-22	NA	EUR/7/75960520-78464626	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_7_92624658_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_7_92624658_1.tsv.gz	7	92624658	9.50385934011672e-40	NA	EUR/7/91112059-93388705	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_7_149172934_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_7_149172934_1.tsv.gz	7	149152410	1.5604919690871003e-77	NA	EUR/7/148057181-150144923	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_7_150970982_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_7_150983889_1.tsv.gz	7	150970982	8.519223264285449e-25	NA	EUR/7/150144923-151346135	NA
qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1	qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1_EUR_7_150807254_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1/finemapped/EUR_7_150811537_1.tsv.gz	7	150807254	6.809260000000001e-15	trans	EUR/7/150144923-151346135	ITGB7
qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1	qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1_EUR_8_9325848_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1/finemapped/EUR_8_9326086_1.tsv.gz	8	9325848	3.08461e-11	trans	EUR/8/8879954-9819706	ITGB7
qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1	qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1_EUR_8_16155085_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1/finemapped/EUR_8_16155085_1.tsv.gz	8	16155085	5.869691349686401e-29	trans	EUR/8/15440595-16183724	ITGBL1
qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1	qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1_EUR_8_16155085_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1/finemapped/EUR_8_16155085_2.tsv.gz	8	16177329	6.985820952921805e-13	trans	EUR/8/15440595-16183724	ITGBL1
qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1	qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1_EUR_8_16186404_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1/finemapped/EUR_8_16186404_1.tsv.gz	8	16425428	8.8283821932804e-13	trans	EUR/8/16183724-17133745	ITGBL1
qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1	qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1_EUR_8_16186404_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1/finemapped/EUR_8_16186404_2.tsv.gz	8	16184192	1.1701251290003145e-12	trans	EUR/8/16183724-17133745	ITGBL1
qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1	qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1_EUR_8_17578154_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1/finemapped/EUR_8_17578154_1.tsv.gz	8	17577831	2.1280830678576314e-11	trans	EUR/8/17133745-18658702	ITGBL1
qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1	qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1_EUR_8_17578154_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1/finemapped/EUR_8_17578154_2.tsv.gz	8	17612914	1.924185703463781e-13	trans	EUR/8/17133745-18658702	ITGBL1
qtl-subset-ukb-ppp-european-ITGB2:P05107:OID20315:v1	qtl-subset-ukb-ppp-european-ITGB2:P05107:OID20315:v1_EUR_8_21853230_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB2:P05107:OID20315:v1/finemapped/EUR_8_21910298_1.tsv.gz	8	21853230	1.74101e-15	trans	EUR/8/20281092-22159255	ITGB2
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_8_23107206_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_8_23107206_1.tsv.gz	8	23107206	1.149419123854366e-34	NA	EUR/8/22159255-23693608	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_8_47739071_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_8_47739071_1.tsv.gz	8	47739071	1.2033572597601051e-29	NA	EUR/8/45930525-48677525	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_8_56209656_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_8_56209656_1.tsv.gz	8	56209656	2.191795343844138e-41	NA	EUR/8/54355052-56595548	NA
