study	unique_study_id	file	chr	bp	min_p	cis_trans	ld_region	known_gene	suspected_gene
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_4_81184341_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_4_81184341_1.tsv.gz	4	81184341	4.946501592542356e-134	NA	EUR/4/80990297_82125314	NA	NA
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_4_81184341_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_4_81184341_2.tsv.gz	4	81058566	1.5721997263319197e-7	NA	EUR/4/80990297_82125314	NA	NA
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_4_81184341_3	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_4_81184341_3.tsv.gz	4	80993133	4.29631479332394e-6	NA	EUR/4/80990297_82125314	NA	ANTXR2
ebi-a-GCST90002304	ebi-a-GCST90002304_EUR_4_81157098_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002304/finemapped/EUR_4_81157098_1.tsv.gz	4	81157098	1.2600854590882394e-32	NA	EUR/4/80990297_82125314	NA	NA
ebi-a-GCST90002304	ebi-a-GCST90002304_EUR_4_83487202_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002304/finemapped/EUR_4_83487202_1.tsv.gz	4	83487202	1.970153207216756e-16	NA	EUR/4/83372593_84799655	NA	NA
ebi-a-GCST90025971	ebi-a-GCST90025971_EUR_4_83649956_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90025971/finemapped/EUR_4_83649956_1.tsv.gz	4	83649956	6.599332342635639e-16	NA	EUR/4/83372593_84799655	NA	SCD5
ebi-a-GCST90002304	ebi-a-GCST90002304_EUR_4_87984331_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002304/finemapped/EUR_4_87984331_1.tsv.gz	4	87984331	3.6601594055804738e-56	NA	EUR/4/87534648_89238027	NA	AFF1
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_4_87968798_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_4_87968798_1.tsv.gz	4	87968798	1.909853258566264e-69	NA	EUR/4/87534648_89238027	NA	AFF1
ebi-a-GCST90013979	ebi-a-GCST90013979_EUR_4_87970127_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90013979/finemapped/EUR_4_87970127_1.tsv.gz	4	87970127	1.6296712351105266e-44	NA	EUR/4/87534648_89238027	NA	AFF1
ebi-a-GCST90014002	ebi-a-GCST90014002_EUR_4_89054667_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90014002/finemapped/EUR_4_89054667_1.tsv.gz	4	89054667	2.3637960359048156e-10	NA	EUR/4/87534648_89238027	NA	ABCG2
ebi-a-GCST90018958	ebi-a-GCST90018958_EUR_4_89050026_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018958/finemapped/EUR_4_89050026_1.tsv.gz	4	89050026	2.8529883615207163e-16	NA	EUR/4/87534648_89238027	NA	ABCG2
ebi-a-GCST90028995	ebi-a-GCST90028995_EUR_4_87980748_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028995/finemapped/EUR_4_87980748_1.tsv.gz	4	87980748	1.2998702373886067e-49	NA	EUR/4/87534648_89238027	NA	AFF1
ebi-a-GCST90002304	ebi-a-GCST90002304_EUR_4_89737457_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002304/finemapped/EUR_4_89737457_1.tsv.gz	4	89737457	1.3999096265683446e-15	NA	EUR/4/89238028_90231563	NA	FAM13A
ebi-a-GCST90013979	ebi-a-GCST90013979_EUR_4_90819154_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90013979/finemapped/EUR_4_90819154_1.tsv.gz	4	90819154	2.7745975598804096e-10	NA	EUR/4/90231564_91560676	NA	MMRN1
ebi-a-GCST90002304	ebi-a-GCST90002304_EUR_4_100262547_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002304/finemapped/EUR_4_100262547_1.tsv.gz	4	100262547	1.5800105979413523e-10	NA	EUR/4/99424067_100678359	NA	ADH1C
ebi-a-GCST90014002	ebi-a-GCST90014002_EUR_4_100270452_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90014002/finemapped/EUR_4_100270452_1.tsv.gz	4	100270452	1.5040421247068552e-8	NA	EUR/4/99424067_100678359	NA	ADH1C
ebi-a-GCST90025971	ebi-a-GCST90025971_EUR_4_100239319_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90025971/finemapped/EUR_4_100239319_1.tsv.gz	4	100239319	8.499629594496183e-11	NA	EUR/4/99424067_100678359	NA	ADH1B
ebi-a-GCST90028995	ebi-a-GCST90028995_EUR_4_100239319_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028995/finemapped/EUR_4_100239319_1.tsv.gz	4	100239319	5.799626158196434e-19	NA	EUR/4/99424067_100678359	NA	ADH1B
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_4_103188709_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_4_103188709_1.tsv.gz	4	103188709	4.9342565758485636e-127	NA	EUR/4/100678360_103221355	NA	SLC39A8
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_4_103188709_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_4_103188709_2.tsv.gz	4	102839287	1.4643133258885135e-33	NA	EUR/4/100678360_103221355	NA	BANK1
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_4_103188709_3	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_4_103188709_3.tsv.gz	4	102199215	1.9461081627484252e-76	NA	EUR/4/100678360_103221355	NA	PPP3CA
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_4_103188709_4	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_4_103188709_4.tsv.gz	4	102209360	2.2952433298660652e-88	NA	EUR/4/100678360_103221355	NA	PPP3CA
ebi-a-GCST90002304	ebi-a-GCST90002304_EUR_4_103188709_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002304/finemapped/EUR_4_103188709_1.tsv.gz	4	103188709	1.749846688624665e-40	NA	EUR/4/100678360_103221355	NA	SLC39A8
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_4_101120194_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_4_101120194_1.tsv.gz	4	102757578	0	NA	EUR/4/100678360_103221355	NA	BANK1
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_4_101120194_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_4_101120194_2.tsv.gz	4	102690442	0	NA	EUR/4/100678360_103221355	NA	BANK1
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_4_101120194_3	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_4_101120194_3.tsv.gz	4	102677410	0	NA	EUR/4/100678360_103221355	NA	BANK1
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_4_101120194_4	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_4_101120194_4.tsv.gz	4	102786685	0	NA	EUR/4/100678360_103221355	NA	BANK1
ebi-a-GCST90013979	ebi-a-GCST90013979_EUR_4_101120194_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90013979/finemapped/EUR_4_101120194_1.tsv.gz	4	101120194	8.023613492357654e-9	NA	EUR/4/100678360_103221355	NA	NA
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_4_103496667_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_4_103496667_1.tsv.gz	4	103496667	7.229362466614469e-20	NA	EUR/4/103221356_105305293	NA	NFKB1
ebi-a-GCST90013979	ebi-a-GCST90013979_EUR_4_103496667_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90013979/finemapped/EUR_4_103496667_1.tsv.gz	4	103496667	1.2493956801010039e-21	NA	EUR/4/103221356_105305293	NA	NFKB1
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_4_105758059_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_4_105758059_1.tsv.gz	4	105758059	2.1198249528064472e-19	NA	EUR/4/105305294_107501304	NA	NA
ebi-a-GCST90013979	ebi-a-GCST90013979_EUR_4_105758059_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90013979/finemapped/EUR_4_105758059_1.tsv.gz	4	105758059	1.348962882591656e-16	NA	EUR/4/105305294_107501304	NA	NA
ebi-a-GCST90018795	ebi-a-GCST90018795_EUR_4_106819053_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018795/finemapped/EUR_4_106819053_1.tsv.gz	4	106819053	3.1229857314863207e-10	NA	EUR/4/105305294_107501304	NA	NPNT
ebi-a-GCST90018958	ebi-a-GCST90018958_EUR_4_106078097_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018958/finemapped/EUR_4_106078097_1.tsv.gz	4	106078097	4.553024633460015e-16	NA	EUR/4/105305294_107501304	NA	TET2
ebi-a-GCST90028995	ebi-a-GCST90028995_EUR_4_105722860_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028995/finemapped/EUR_4_105722860_1.tsv.gz	4	105722860	2.700225286888239e-16	NA	EUR/4/105305294_107501304	NA	NA
ebi-a-GCST90028995	ebi-a-GCST90028995_EUR_4_105989773_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028995/finemapped/EUR_4_105989773_1.tsv.gz	4	105989773	2.700225286888239e-16	NA	EUR/4/105305294_107501304	NA	NA
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_4_109066366_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_4_109066366_1.tsv.gz	4	109066366	1.6180333573731576e-20	NA	EUR/4/108815348_111256566	NA	LEF1
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_4_109066366_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_4_109066366_2.tsv.gz	4	108931039	2.480607209174683e-14	NA	EUR/4/108815348_111256566	NA	HADH
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_4_110854431_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_4_110854431_1.tsv.gz	4	110854431	8.649679187756922e-14	NA	EUR/4/108815348_111256566	NA	EGF
ebi-a-GCST90013979	ebi-a-GCST90013979_EUR_4_110854431_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90013979/finemapped/EUR_4_110854431_1.tsv.gz	4	110854431	3.496471559383862e-9	NA	EUR/4/108815348_111256566	NA	EGF
ebi-a-GCST90018958	ebi-a-GCST90018958_EUR_4_110829458_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018958/finemapped/EUR_4_110829458_1.tsv.gz	4	110829458	1.9449121974767718e-17	NA	EUR/4/108815348_111256566	NA	NA
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_4_111445587_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_4_111445587_1.tsv.gz	4	111381638	4.403936050692431e-28	NA	EUR/4/111256567_113870101	NA	NA
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_4_111445587_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_4_111445587_2.tsv.gz	4	111431444	2.553362740413779e-25	NA	EUR/4/111256567_113870101	NA	ENPEP
ebi-a-GCST90002304	ebi-a-GCST90002304_EUR_4_115519271_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002304/finemapped/EUR_4_115519271_1.tsv.gz	4	115519271	1.61994399390363e-16	NA	EUR/4/113870102_115666245	NA	NA
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_4_119951647_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_4_119951647_1.tsv.gz	4	119951647	3.095048158149232e-279	NA	EUR/4/119933512_120392683	NA	SYNPO2
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_4_119951647_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_4_119951647_2.tsv.gz	4	120241902	3.552219076238488e-24	NA	EUR/4/119933512_120392683	NA	FABP2
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_4_119951647_3	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_4_119951647_3.tsv.gz	4	120214030	6.667787557978517e-13	NA	EUR/4/119933512_120392683	NA	USP53
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_4_119951647_4	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_4_119951647_4.tsv.gz	4	119947135	3.007527504781575e-81	NA	EUR/4/119933512_120392683	NA	SYNPO2
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_4_119951647_5	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_4_119951647_5.tsv.gz	4	119948046	2.741218081574748e-215	NA	EUR/4/119933512_120392683	NA	SYNPO2
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_4_120152909_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_4_120152909_1.tsv.gz	4	120152909	2.959988338040908e-9	NA	EUR/4/119933512_120392683	NA	USP53
ebi-a-GCST90025971	ebi-a-GCST90025971_EUR_4_120131644_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90025971/finemapped/EUR_4_120131644_1.tsv.gz	4	120131644	4.100152405066133e-12	NA	EUR/4/119933512_120392683	NA	NA
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_4_122736053_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_4_122736053_1.tsv.gz	4	122736053	3.800143529415909e-73	NA	EUR/4/122657987_124286480	NA	EXOSC9
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_4_123558223_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_4_123558223_1.tsv.gz	4	123558223	3.800143529415909e-73	NA	EUR/4/122657987_124286480	NA	NA
ebi-a-GCST90013979	ebi-a-GCST90013979_EUR_4_122791601_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90013979/finemapped/EUR_4_122791601_1.tsv.gz	4	122791601	2.194825513700721e-63	NA	EUR/4/122657987_124286480	NA	BBS7
ebi-a-GCST90013979	ebi-a-GCST90013979_EUR_4_123558223_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90013979/finemapped/EUR_4_123558223_1.tsv.gz	4	123558223	2.194825513700721e-63	NA	EUR/4/122657987_124286480	NA	NA
ebi-a-GCST90018795	ebi-a-GCST90018795_EUR_4_123336918_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018795/finemapped/EUR_4_123336918_1.tsv.gz	4	123336918	1.5678337172957273e-14	NA	EUR/4/122657987_124286480	NA	ADAD1
ebi-a-GCST90028995	ebi-a-GCST90028995_EUR_4_122770677_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028995/finemapped/EUR_4_122770677_1.tsv.gz	4	122770677	2.199885109049238e-67	NA	EUR/4/122657987_124286480	NA	BBS7
ebi-a-GCST90028995	ebi-a-GCST90028995_EUR_4_123558223_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028995/finemapped/EUR_4_123558223_1.tsv.gz	4	123558223	2.199885109049238e-67	NA	EUR/4/122657987_124286480	NA	NA
ebi-a-GCST90002304	ebi-a-GCST90002304_EUR_4_124700389_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002304/finemapped/EUR_4_124700389_1.tsv.gz	4	124700389	1.1200050993381919e-10	NA	EUR/4/124286481_125210861	NA	LINC01091
ebi-a-GCST90002304	ebi-a-GCST90002304_EUR_4_126416497_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002304/finemapped/EUR_4_126416497_1.tsv.gz	4	126416497	1.4799941542441153e-8	NA	EUR/4/125210862_126480885	NA	NA
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_4_128474415_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_4_128474415_1.tsv.gz	4	128474415	5.3604345781614144e-18	NA	EUR/4/127830293_128996664	NA	NA
ebi-a-GCST90028995	ebi-a-GCST90028995_EUR_4_128474272_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028995/finemapped/EUR_4_128474272_1.tsv.gz	4	128474272	1.5999263828686003e-20	NA	EUR/4/127830293_128996664	NA	NA
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_4_129570447_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_4_129570447_1.tsv.gz	4	129570447	5.00956481513398e-11	NA	EUR/4/128996665_130591884	NA	NA
ebi-a-GCST90014002	ebi-a-GCST90014002_EUR_4_140863365_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90014002/finemapped/EUR_4_140863365_1.tsv.gz	4	140863365	1.145671210839516e-9	NA	EUR/4/139556511_141084630	NA	MAML3
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_4_144060464_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_4_144060464_1.tsv.gz	4	144060464	4.0119914609051944e-8	NA	EUR/4/143443265_146178186	NA	NA
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_4_145025810_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_4_145025810_1.tsv.gz	4	145025810	3.2501245188618116e-41	NA	EUR/4/143443265_146178186	NA	GYPA
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_4_146055117_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_4_146055117_1.tsv.gz	4	146055117	3.2501245188618116e-41	NA	EUR/4/143443265_146178186	NA	OTUD4
ebi-a-GCST90013979	ebi-a-GCST90013979_EUR_4_145035788_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90013979/finemapped/EUR_4_145035788_1.tsv.gz	4	145035788	2.1757049509257863e-32	NA	EUR/4/143443265_146178186	NA	GYPA
ebi-a-GCST90013979	ebi-a-GCST90013979_EUR_4_146081852_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90013979/finemapped/EUR_4_146081852_1.tsv.gz	4	146081852	2.1757049509257863e-32	NA	EUR/4/143443265_146178186	NA	OTUD4
ebi-a-GCST90018958	ebi-a-GCST90018958_EUR_4_144493754_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018958/finemapped/EUR_4_144493754_1.tsv.gz	4	144493754	5.159409511903249e-100	NA	EUR/4/143443265_146178186	NA	NA
ebi-a-GCST90018958	ebi-a-GCST90018958_EUR_4_144919687_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018958/finemapped/EUR_4_144919687_1.tsv.gz	4	144919687	5.159409511903249e-100	NA	EUR/4/143443265_146178186	NA	GYPA
ebi-a-GCST90018958	ebi-a-GCST90018958_EUR_4_146045768_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018958/finemapped/EUR_4_146045768_1.tsv.gz	4	146045768	5.159409511903249e-100	NA	EUR/4/143443265_146178186	NA	ABCE1
ebi-a-GCST90025971	ebi-a-GCST90025971_EUR_4_144913903_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90025971/finemapped/EUR_4_144913903_1.tsv.gz	4	144913903	3.299894079108372e-98	NA	EUR/4/143443265_146178186	NA	NA
ebi-a-GCST90028995	ebi-a-GCST90028995_EUR_4_145035788_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028995/finemapped/EUR_4_145035788_1.tsv.gz	4	145035788	2.3999378768098916e-35	NA	EUR/4/143443265_146178186	NA	GYPA
ebi-a-GCST90002304	ebi-a-GCST90002304_EUR_4_146480448_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002304/finemapped/EUR_4_146480448_1.tsv.gz	4	146480448	2.409905428686593e-11	NA	EUR/4/146178187_148521872	NA	NA
ebi-a-GCST90002304	ebi-a-GCST90002304_EUR_4_148454407_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002304/finemapped/EUR_4_148454407_1.tsv.gz	4	148454407	2.409905428686593e-11	NA	EUR/4/146178187_148521872	NA	EDNRA
ebi-a-GCST90002304	ebi-a-GCST90002304_EUR_4_148975635_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002304/finemapped/EUR_4_148975635_1.tsv.gz	4	148975635	1.5100801541641492e-16	NA	EUR/4/148521873_150683579	NA	ARHGAP10
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_4_154419571_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_4_154419571_1.tsv.gz	4	154419571	1.2800000894571122e-9	NA	EUR/4/152782184_154477640	NA	TMEM131L
ebi-a-GCST90014002	ebi-a-GCST90014002_EUR_4_154135692_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90014002/finemapped/EUR_4_154135692_1.tsv.gz	4	154135692	2.181925912537111e-9	NA	EUR/4/152782184_154477640	NA	TRIM2
ebi-a-GCST90028995	ebi-a-GCST90028995_EUR_4_153511640_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028995/finemapped/EUR_4_153511640_1.tsv.gz	4	153511640	2.599979956709245e-9	NA	EUR/4/152782184_154477640	NA	NA
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_4_156635309_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_4_156635309_1.tsv.gz	4	156635309	1.0490592077764476e-32	NA	EUR/4/155056126_157485096	NA	GUCY1A1
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_4_157720124_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_4_157720124_1.tsv.gz	4	157720124	5.861381645140297e-11	NA	EUR/4/157485097_158743717	NA	PDGFC
ebi-a-GCST90002304	ebi-a-GCST90002304_EUR_4_157807115_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002304/finemapped/EUR_4_157807115_1.tsv.gz	4	157807115	7.290041489390253e-10	NA	EUR/4/157485097_158743717	NA	PDGFC
ebi-a-GCST90018958	ebi-a-GCST90018958_EUR_4_157805551_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018958/finemapped/EUR_4_157805551_1.tsv.gz	4	157805551	3.8830233310358694e-9	NA	EUR/4/157485097_158743717	NA	PDGFC
ebi-a-GCST90018958	ebi-a-GCST90018958_EUR_4_185716090_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018958/finemapped/EUR_4_185716090_1.tsv.gz	4	185716090	1.492107110616697e-23	NA	EUR/4/184929455_186909089	NA	ACSL1
ebi-a-GCST90002304	ebi-a-GCST90002304_EUR_4_187762236_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002304/finemapped/EUR_4_187762236_1.tsv.gz	4	187762236	1.2599984184747286e-10	NA	EUR/4/186909090_188472980	NA	NA
ebi-a-GCST90025971	ebi-a-GCST90025971_EUR_4_187557893_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90025971/finemapped/EUR_4_187557893_1.tsv.gz	4	187557893	4.099963590417654e-9	NA	EUR/4/186909090_188472980	NA	FAT1
ebi-a-GCST90002304	ebi-a-GCST90002304_EUR_5_448291_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002304/finemapped/EUR_5_448291_1.tsv.gz	5	448291	3.6795948301478384e-24	NA	EUR/5/11940_982251	NA	EXOC3
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_5_1068480_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_5_1068480_1.tsv.gz	5	1068480	2.9716660317380193e-122	NA	EUR/5/982252_2132441	NA	SLC12A7
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_5_1107428_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_5_1107428_1.tsv.gz	5	1107428	2.9716660317380193e-122	NA	EUR/5/982252_2132441	NA	SLC12A7
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_5_1285974_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_5_1285974_1.tsv.gz	5	1285974	2.9716660317380193e-122	NA	EUR/5/982252_2132441	NA	TERT
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_5_1307648_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_5_1307648_1.tsv.gz	5	1307648	2.9716660317380193e-122	NA	EUR/5/982252_2132441	NA	NA
ebi-a-GCST90013979	ebi-a-GCST90013979_EUR_5_1100831_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90013979/finemapped/EUR_5_1100831_1.tsv.gz	5	1100831	8.8531943869749e-78	NA	EUR/5/982252_2132441	NA	SLC12A7
ebi-a-GCST90013979	ebi-a-GCST90013979_EUR_5_1285974_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90013979/finemapped/EUR_5_1285974_1.tsv.gz	5	1285974	8.8531943869749e-78	NA	EUR/5/982252_2132441	NA	TERT
ebi-a-GCST90013979	ebi-a-GCST90013979_EUR_5_1307648_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90013979/finemapped/EUR_5_1307648_1.tsv.gz	5	1307648	8.8531943869749e-78	NA	EUR/5/982252_2132441	NA	NA
ebi-a-GCST90018958	ebi-a-GCST90018958_EUR_5_1104938_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018958/finemapped/EUR_5_1104938_1.tsv.gz	5	1104938	7.128530301265195e-13	NA	EUR/5/982252_2132441	NA	SLC12A7
ebi-a-GCST90025971	ebi-a-GCST90025971_EUR_5_1103150_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90025971/finemapped/EUR_5_1103150_1.tsv.gz	5	1103150	1.5068278386099314e-144	NA	EUR/5/982252_2132441	NA	SLC12A7
